,wallTime,dtstamp,step,training_loss_step,epoch
0,1637543460,2021.11.22-01.08,13,6.7511687,0.0
1,1637543573,2021.11.22-01.08,27,5.918219,1.0
2,1637543686,2021.11.22-01.08,41,5.783512,2.0
3,1637543799,2021.11.22-01.08,55,5.5988984,3.0
4,1637543911,2021.11.22-01.08,69,5.445334,4.0
5,1637544024,2021.11.22-01.08,83,5.2208524,5.0
6,1637544137,2021.11.22-01.08,97,4.9708467,6.0
7,1637544250,2021.11.22-01.08,111,4.6985884,7.0
8,1637544363,2021.11.22-01.08,125,4.396071,8.0
9,1637544475,2021.11.22-01.08,139,3.9911938,9.0
10,1637544588,2021.11.22-01.08,153,3.690975,10.0
11,1637544701,2021.11.22-01.08,167,3.3839054,11.0
12,1637544814,2021.11.22-01.08,181,3.0226672,12.0
13,1637544927,2021.11.22-01.08,195,2.686654,13.0
14,1637545040,2021.11.22-01.08,209,2.2925162,14.0
15,1637545153,2021.11.22-01.08,223,1.9918064,15.0
16,1637545266,2021.11.22-01.08,237,1.7107024,16.0
17,1637545378,2021.11.22-01.08,251,1.4567194,17.0
18,1637545491,2021.11.22-01.08,265,1.2408813,18.0
19,1637545604,2021.11.22-01.08,279,1.0426487,19.0
20,1637545717,2021.11.22-01.08,293,0.86347973,20.0
21,1637545830,2021.11.22-01.08,307,0.65921175,21.0
22,1637545942,2021.11.22-01.08,321,0.6338274,22.0
23,1637546055,2021.11.22-01.08,335,0.44826376,23.0
24,1637546168,2021.11.22-01.08,349,0.37100473,24.0
25,1637546280,2021.11.22-01.08,363,0.34924686,25.0
26,1637546393,2021.11.22-01.08,377,0.25214866,26.0
27,1637546506,2021.11.22-01.08,391,0.1931153,27.0
28,1637546618,2021.11.22-01.08,405,0.15966181,28.0
29,1637546730,2021.11.22-01.08,419,0.13615668,29.0
30,1637546842,2021.11.22-01.08,433,0.11646579,30.0
31,1637546954,2021.11.22-01.08,447,0.09519698,31.0
32,1637547067,2021.11.22-01.08,461,0.0940433,32.0
33,1637547179,2021.11.22-01.08,475,0.07513157,33.0
34,1637547292,2021.11.22-01.08,489,0.0714375,34.0
35,1637547405,2021.11.22-01.08,503,0.06140442,35.0
