,wallTime,epoch,exp,tag,value
79,1638570829,0249,2021.12.03-22.24,duration_ms_mse_step,18317.389
80,1638570829,0249,2021.12.03-22.24,note_count_mse_step,6.783496
81,1638570837,0249,2021.12.03-22.24,levenshtein_step,11.547749
82,1638570837,0249,2021.12.03-22.24,duration_ms_mse_step,19263.516
83,1638570837,0249,2021.12.03-22.24,note_count_mse_step,15.188481
84,1638570837,0249,2021.12.03-22.24,levenshtein_epoch,111.864365
85,1638570837,0249,2021.12.03-22.24,duration_ms_mse_epoch,18553.922
86,1638570837,0249,2021.12.03-22.24,note_count_mse_epoch,8.884742
87,1638570837,0249,2021.12.03-22.24,epoch,0.0
88,1638572934,1369,2021.12.03-22.24,hp_metric,-1.0
89,1638572944,1369,2021.12.03-22.24,levenshtein_step,145.30417
90,1638572944,1369,2021.12.03-22.24,duration_ms_mse_step,18328.979
91,1638572944,1369,2021.12.03-22.24,note_count_mse_step,6.783496
92,1638572948,1369,2021.12.03-22.24,levenshtein_step,11.543032
93,1638572948,1369,2021.12.03-22.24,duration_ms_mse_step,17785.645
94,1638572948,1369,2021.12.03-22.24,note_count_mse_step,9.481736
95,1638572948,1369,2021.12.03-22.24,levenshtein_epoch,111.863884
96,1638572948,1369,2021.12.03-22.24,duration_ms_mse_epoch,18193.145
97,1638572948,1369,2021.12.03-22.24,note_count_mse_epoch,7.458056
98,1638572948,1369,2021.12.03-22.24,epoch,0.0
99,1638571995,0819,2021.12.03-22.24,hp_metric,-1.0
100,1638572005,0819,2021.12.03-22.24,levenshtein_step,145.30324
101,1638572005,0819,2021.12.03-22.24,duration_ms_mse_step,18335.172
102,1638572005,0819,2021.12.03-22.24,note_count_mse_step,6.7641196
103,1638572010,0819,2021.12.03-22.24,levenshtein_step,11.538314
104,1638572010,0819,2021.12.03-22.24,duration_ms_mse_step,17993.764
105,1638572010,0819,2021.12.03-22.24,note_count_mse_step,9.605495
106,1638572010,0819,2021.12.03-22.24,levenshtein_epoch,111.862
107,1638572010,0819,2021.12.03-22.24,duration_ms_mse_epoch,18249.82
108,1638572010,0819,2021.12.03-22.24,note_count_mse_epoch,7.4744635
109,1638572010,0819,2021.12.03-22.24,epoch,0.0
110,1638571112,0409,2021.12.03-22.24,hp_metric,-1.0
111,1638571122,0409,2021.12.03-22.24,levenshtein_step,145.30417
112,1638571122,0409,2021.12.03-22.24,duration_ms_mse_step,18324.34
113,1638571122,0409,2021.12.03-22.24,note_count_mse_step,6.7738733
114,1638571129,0409,2021.12.03-22.24,levenshtein_step,11.543032
115,1638571129,0409,2021.12.03-22.24,duration_ms_mse_step,20926.643
116,1638571129,0409,2021.12.03-22.24,note_count_mse_step,12.350618
117,1638571129,0409,2021.12.03-22.24,levenshtein_epoch,111.863884
118,1638571129,0409,2021.12.03-22.24,duration_ms_mse_epoch,18974.916
119,1638571129,0409,2021.12.03-22.24,note_count_mse_epoch,8.168059
120,1638571129,0409,2021.12.03-22.24,epoch,0.0
121,1638570506,0089,2021.12.03-22.24,hp_metric,-1.0
122,1638570515,0089,2021.12.03-22.24,levenshtein_step,145.30324
123,1638570515,0089,2021.12.03-22.24,duration_ms_mse_step,18301.592
124,1638570515,0089,2021.12.03-22.24,note_count_mse_step,6.783496
125,1638570520,0089,2021.12.03-22.24,levenshtein_step,11.599634
126,1638570520,0089,2021.12.03-22.24,duration_ms_mse_step,18085.16
127,1638570520,0089,2021.12.03-22.24,note_count_mse_step,20.631466
128,1638570520,0089,2021.12.03-22.24,levenshtein_epoch,111.877335
129,1638570520,0089,2021.12.03-22.24,duration_ms_mse_epoch,18247.484
130,1638570520,0089,2021.12.03-22.24,note_count_mse_epoch,10.245488
131,1638570520,0089,2021.12.03-22.24,epoch,0.0
132,1638570949,0319,2021.12.03-22.24,hp_metric,-1.0
133,1638570958,0319,2021.12.03-22.24,levenshtein_step,145.30417
134,1638570958,0319,2021.12.03-22.24,duration_ms_mse_step,18337.883
135,1638570958,0319,2021.12.03-22.24,note_count_mse_step,6.7738733
136,1638570966,0319,2021.12.03-22.24,levenshtein_step,11.552465
137,1638570966,0319,2021.12.03-22.24,duration_ms_mse_step,20963.697
138,1638570966,0319,2021.12.03-22.24,note_count_mse_step,22.154755
139,1638570966,0319,2021.12.03-22.24,levenshtein_epoch,111.86624
140,1638570966,0319,2021.12.03-22.24,duration_ms_mse_epoch,18994.336
141,1638570966,0319,2021.12.03-22.24,note_count_mse_epoch,10.619094
142,1638570966,0319,2021.12.03-22.24,epoch,0.0
143,1638570713,0199,2021.12.03-22.24,hp_metric,-1.0
144,1638570727,0199,2021.12.03-22.24,levenshtein_step,145.29854
145,1638570727,0199,2021.12.03-22.24,duration_ms_mse_step,17680.75
146,1638570727,0199,2021.12.03-22.24,note_count_mse_step,7.698489
147,1638570733,0199,2021.12.03-22.24,levenshtein_step,11.561899
148,1638570733,0199,2021.12.03-22.24,duration_ms_mse_step,17769.941
149,1638570733,0199,2021.12.03-22.24,note_count_mse_step,13.903092
150,1638570733,0199,2021.12.03-22.24,levenshtein_epoch,111.86438
151,1638570733,0199,2021.12.03-22.24,duration_ms_mse_epoch,17703.047
152,1638570733,0199,2021.12.03-22.24,note_count_mse_epoch,9.2496395
153,1638570733,0199,2021.12.03-22.24,epoch,0.0
154,1638573337,1519,2021.12.03-22.24,hp_metric,-1.0
155,1638573422,1519,2021.12.03-22.24,levenshtein_step,144.7433
156,1638573422,1519,2021.12.03-22.24,duration_ms_mse_step,26873.334
157,1638573422,1519,2021.12.03-22.24,note_count_mse_step,27.56202
158,1638573426,1519,2021.12.03-22.24,levenshtein_step,11.538314
159,1638573426,1519,2021.12.03-22.24,duration_ms_mse_step,17777.576
160,1638573426,1519,2021.12.03-22.24,note_count_mse_step,9.807423
161,1638573426,1519,2021.12.03-22.24,levenshtein_epoch,111.442055
162,1638573426,1519,2021.12.03-22.24,duration_ms_mse_epoch,24599.395
163,1638573426,1519,2021.12.03-22.24,note_count_mse_epoch,23.12337
164,1638573426,1519,2021.12.03-22.24,epoch,0.0
165,1638570366,0019,2021.12.03-22.24,hp_metric,-1.0
166,1638570384,0019,2021.12.03-22.24,levenshtein_step,145.30136
167,1638570384,0019,2021.12.03-22.24,duration_ms_mse_step,17294.953
168,1638570384,0019,2021.12.03-22.24,note_count_mse_step,8.41845
169,1638570389,0019,2021.12.03-22.24,levenshtein_step,11.604351
170,1638570389,0019,2021.12.03-22.24,duration_ms_mse_step,17918.695
171,1638570389,0019,2021.12.03-22.24,note_count_mse_step,14.703295
172,1638570389,0019,2021.12.03-22.24,levenshtein_epoch,111.877106
173,1638570389,0019,2021.12.03-22.24,duration_ms_mse_epoch,17450.889
174,1638570389,0019,2021.12.03-22.24,note_count_mse_epoch,9.989661
175,1638570389,0019,2021.12.03-22.24,epoch,0.0
176,1638572609,1179,2021.12.03-22.24,hp_metric,-1.0
177,1638572619,1179,2021.12.03-22.24,levenshtein_step,145.30417
178,1638572619,1179,2021.12.03-22.24,duration_ms_mse_step,18328.979
179,1638572619,1179,2021.12.03-22.24,note_count_mse_step,6.783496
180,1638572624,1179,2021.12.03-22.24,levenshtein_step,11.528879
181,1638572624,1179,2021.12.03-22.24,duration_ms_mse_step,17770.543
